"","gender","decision","department"
"1210","female","denied","c"
"1211","male","denied","f"
"1212","female","denied","f"
"1213","male","denied","e"
"1214","female","denied","e"
"1215","male","admitted","a"
"1216","male","admitted","a"
"1217","male","admitted","b"
"1218","male","denied","d"
"1219","male","denied","d"
"1220","female","denied","c"
"1221","male","denied","f"
"1222","female","admitted","c"
"1223","male","denied","f"
"1224","male","denied","a"
"1225","female","denied","c"
"1226","female","admitted","c"
"1227","male","denied","f"
"1228","female","denied","f"
"1229","male","admitted","d"
"1230","female","admitted","c"
"1231","female","denied","e"
"1232","female","denied","f"
"1233","female","denied","d"
"1234","female","denied","c"
"1235","male","admitted","b"
"1236","male","denied","a"
"1237","male","admitted","a"
"1238","male","denied","f"
"1239","male","admitted","c"
"1240","male","denied","b"
"1241","male","admitted","b"
"1242","male","denied","a"
"1243","female","admitted","e"
"1244","male","denied","c"
"1245","female","denied","a"
"1246","male","admitted","a"
"1247","female","admitted","d"
"1248","male","denied","f"
"1249","male","denied","d"
"1250","male","denied","a"
"1251","female","denied","e"
"1252","male","denied","b"
"1253","female","denied","c"
"1254","female","admitted","d"
"1255","female","admitted","d"
"1256","male","admitted","b"
"1257","female","admitted","c"
"1258","male","denied","a"
"1259","male","admitted","a"
"1260","female","admitted","c"
"1261","female","admitted","d"
"1262","male","denied","f"
"1263","female","denied","f"
"1264","female","denied","c"
"1265","female","admitted","d"
"1266","male","denied","c"
"1267","male","denied","d"
"1268","male","admitted","a"
"1269","female","denied","f"
"1270","male","denied","f"
"1271","male","admitted","a"
"1272","male","admitted","c"
"1273","male","admitted","c"
"1274","female","denied","f"
"1275","male","admitted","b"
"1276","male","admitted","a"
"1277","male","denied","a"
"1278","male","admitted","a"
"1279","female","denied","f"
"1280","female","denied","c"
"1281","male","denied","f"
"1282","female","denied","c"
"1283","male","denied","b"
"1284","male","denied","f"
"1285","female","denied","d"
"1286","female","admitted","d"
"1287","male","denied","e"
"1288","female","denied","e"
"1289","female","denied","c"
"1290","male","denied","f"
"1291","male","denied","f"
"1292","female","admitted","e"
"1293","female","denied","e"
"1294","female","denied","c"
"1295","female","admitted","f"
"1296","male","admitted","a"
"1297","male","denied","e"
"1298","male","denied","d"
"1299","male","admitted","b"
"1300","female","denied","f"
"1301","male","admitted","a"
"1302","female","denied","c"
"1303","male","admitted","b"
"1304","male","denied","f"
"1305","male","admitted","c"
"1306","male","denied","f"
"1307","female","denied","c"
"1308","male","denied","f"
"1309","female","denied","e"
"1310","male","denied","a"
"1311","male","admitted","e"
"1312","female","denied","d"
"1313","male","denied","f"
"1314","male","admitted","a"
"1315","male","denied","c"
"1316","male","admitted","a"
"1317","male","admitted","a"
"1318","male","denied","b"
"1319","female","denied","f"
"1320","female","denied","f"
"1321","male","denied","b"
"1322","male","admitted","c"
"1323","male","denied","b"
"1324","female","admitted","e"
"1325","female","denied","e"
"1326","male","denied","d"
"1327","male","denied","f"
"1328","female","denied","c"
"1329","male","denied","f"
"1330","female","admitted","a"
"1331","female","admitted","c"
"1332","male","admitted","a"
"1333","male","denied","b"
"1334","male","admitted","a"
"1335","male","admitted","a"
"1336","male","denied","f"
"1337","male","admitted","d"
"1338","male","denied","d"
"1339","female","denied","c"
"1340","male","admitted","b"
"1341","female","denied","f"
"1342","male","admitted","b"
"1343","male","admitted","b"
"1344","female","admitted","b"
"1345","male","admitted","b"
"1346","male","denied","a"
"1347","female","denied","f"
"1348","female","denied","d"
"1349","male","denied","c"
"1350","male","denied","b"
"1351","male","admitted","a"
"1352","female","admitted","c"
"1353","male","denied","f"
"1354","male","denied","f"
"1355","male","admitted","c"
"1356","female","admitted","e"
"1357","female","denied","c"
"1358","female","denied","c"
"1359","male","denied","b"
"1360","male","admitted","a"
"1361","female","admitted","e"
"1362","male","denied","a"
"1363","male","admitted","a"
"1364","male","denied","f"
"1365","male","denied","b"
"1366","male","denied","a"
"1367","male","admitted","b"
"1368","female","denied","d"
"1369","female","denied","f"
"1370","male","denied","f"
"1371","male","admitted","a"
"1372","female","admitted","c"
"1373","male","admitted","b"
"1374","male","admitted","e"
"1375","male","denied","f"
"1376","female","denied","e"
"1377","male","denied","e"
"1378","female","denied","d"
"1379","female","denied","e"
"1380","male","admitted","a"
"1381","male","denied","b"
"1382","male","admitted","a"
"1383","female","admitted","d"
"1384","male","denied","f"
"1385","female","denied","e"
"1386","male","admitted","c"
"1387","female","denied","c"
"1388","female","denied","c"
"1389","male","admitted","d"
"1390","female","denied","c"
"1391","male","admitted","f"
"1392","male","denied","a"
"1393","male","denied","a"
"1394","female","denied","f"
"1395","male","admitted","c"
"1396","female","denied","f"
"1397","male","denied","b"
"1398","female","denied","f"
"1399","male","admitted","a"
"1400","male","denied","f"
"1401","female","denied","e"
"1402","female","denied","d"
"1403","female","denied","c"
"1404","female","denied","c"
"1405","female","admitted","a"
"1406","male","admitted","a"
"1407","female","denied","d"
"1408","female","denied","f"
"1409","female","denied","e"
"1410","male","admitted","b"
"1411","male","denied","c"
"1412","female","denied","c"
"1413","female","admitted","a"
"1414","female","denied","e"
"1415","male","denied","a"
"1416","female","admitted","b"
"1417","male","denied","e"
"1418","male","denied","d"
"1419","female","denied","f"
"1420","male","admitted","a"
"1421","male","admitted","a"
"1422","female","denied","c"
"1423","male","admitted","a"
"1424","female","admitted","d"
"1425","male","admitted","a"
"1426","female","denied","c"
"1427","female","denied","f"
"1428","male","denied","b"
"1429","male","denied","a"
"1430","male","denied","b"
"1431","female","denied","d"
"1432","male","admitted","a"
"1433","male","admitted","a"
"1434","male","denied","f"
"1435","male","admitted","a"
"1436","female","denied","f"
"1437","female","denied","d"
"1438","male","admitted","a"
"1439","female","denied","c"
"1440","male","denied","b"
"1441","male","admitted","b"
"1442","male","denied","f"
"1443","male","denied","a"
"1444","male","admitted","a"
"1445","female","admitted","d"
"1446","female","denied","f"
"1447","female","denied","d"
"1448","female","denied","c"
"1449","female","denied","f"
"1450","female","denied","d"
"1451","female","admitted","e"
"1452","male","admitted","a"
"1453","female","admitted","c"
"1454","female","admitted","d"
"1455","male","denied","f"
"1456","male","denied","b"
"1457","male","denied","c"
"1458","female","denied","c"
"1459","female","admitted","a"
"1460","male","denied","f"
"1461","female","denied","e"
"1462","male","denied","a"
"1463","male","admitted","d"
"1464","female","admitted","e"
"1465","female","admitted","d"
"1466","female","denied","e"
"1467","male","denied","f"
"1468","female","admitted","e"
"1469","female","denied","d"
"1470","male","admitted","c"
"1471","female","admitted","f"
"1472","female","admitted","d"
"1473","female","denied","d"
"1474","male","denied","b"
"1475","female","denied","d"
"1476","male","denied","e"
"1477","female","denied","c"
"1478","female","denied","a"
"1479","female","denied","c"
"1480","female","denied","c"
"1481","female","admitted","c"
"1482","male","denied","a"
"1483","male","admitted","c"
"1484","male","denied","a"
"1485","male","denied","c"
"1486","male","admitted","d"
"1487","female","denied","c"
"1488","female","admitted","e"
"1489","female","denied","f"
"1490","female","denied","f"
"1491","female","denied","e"
"1492","female","admitted","c"
"1493","male","admitted","a"
"1494","male","admitted","b"
"1495","female","admitted","a"
"1496","female","denied","d"
"1497","female","denied","d"
"1498","female","denied","d"
"1499","female","denied","e"
"1500","female","admitted","c"
"1501","male","denied","d"
"1502","female","denied","f"
"1503","male","denied","c"
"1504","female","denied","c"
"1505","female","denied","c"
"1506","female","denied","f"
"1507","female","denied","e"
"1508","female","denied","d"
"1509","female","denied","e"
"1510","male","denied","b"
"1511","male","denied","a"
"1512","male","denied","a"
"1513","male","denied","b"
"1514","male","denied","f"
"1515","female","denied","d"
"1516","male","admitted","a"
"1517","male","denied","a"
"1518","male","denied","b"
"1519","female","admitted","a"
"1520","female","denied","f"
"1521","male","denied","f"
"1522","female","denied","e"
"1523","male","denied","d"
"1524","male","denied","d"
"1525","male","admitted","c"
"1526","female","admitted","d"
"1527","male","admitted","e"
"1528","male","denied","b"
"1529","male","denied","d"
"1530","female","denied","e"
"1531","male","denied","b"
"1532","male","admitted","c"
"1533","male","denied","b"
"1534","male","denied","d"
"1535","female","denied","e"
"1536","male","denied","f"
"1537","male","admitted","b"
"1538","female","denied","e"
"1539","female","admitted","a"
"1540","female","denied","c"
"1541","male","admitted","f"
"1542","male","denied","a"
"1543","male","admitted","a"
"1544","male","admitted","b"
"1545","male","denied","a"
"1546","male","denied","f"
"1547","male","denied","d"
"1548","male","denied","f"
"1549","female","denied","d"
"1550","female","admitted","e"
"1551","male","denied","f"
"1552","male","denied","b"
"1553","female","denied","c"
"1554","female","admitted","a"
"1555","male","denied","d"
"1556","female","denied","c"
"1557","male","denied","d"
"1558","male","denied","d"
"1559","female","denied","d"
"1560","female","denied","d"
"1561","male","admitted","b"
"1562","female","denied","d"
"1563","female","denied","f"
"1564","female","denied","c"
"1565","female","denied","c"
"1566","female","denied","c"
"1567","male","denied","f"
"1568","male","denied","c"
"1569","female","denied","e"
"1570","male","admitted","a"
"1571","male","denied","c"
"1572","male","denied","f"
"1573","female","denied","c"
"1574","male","admitted","d"
"1575","male","admitted","b"
"1576","male","denied","c"
"1577","female","denied","e"
"1578","female","denied","e"
"1579","female","admitted","d"
"1580","male","admitted","a"
"1581","male","admitted","b"
"1582","female","admitted","c"
"1583","male","denied","f"
"1584","male","admitted","b"
"1585","male","denied","f"
"1586","female","denied","c"
"1587","female","denied","c"
"1588","male","denied","d"
"1589","male","admitted","a"
"1590","female","denied","c"
"1591","male","denied","d"
"1592","male","admitted","c"
"1593","female","denied","f"
"1594","male","denied","d"
"1595","female","admitted","c"
"1596","male","denied","a"
"1597","female","denied","f"
"1598","female","denied","e"
"1599","male","denied","d"
"1600","female","denied","e"
"1601","male","denied","f"
"1602","male","denied","d"
"1603","male","admitted","c"
"1604","male","admitted","a"
"1605","female","denied","c"
"1606","female","denied","e"
"1607","female","denied","c"
"1608","female","denied","d"
"1609","male","admitted","a"
"1610","female","denied","c"
"1611","female","admitted","c"
"1612","male","denied","c"
"1613","female","denied","c"
"1614","male","denied","e"
"1615","male","denied","d"
"1616","female","denied","c"
"1617","male","denied","f"
"1618","male","admitted","a"
"1619","female","denied","c"
"1620","male","admitted","a"
"1621","male","denied","a"
"1622","female","denied","d"
"1623","male","denied","f"
"1624","male","admitted","a"
"1625","male","admitted","a"
"1626","male","denied","f"
"1627","female","admitted","b"
"1628","male","admitted","b"
"1629","male","admitted","d"
"1630","female","denied","d"
"1631","female","denied","f"
"1632","female","denied","e"
"1633","female","denied","c"
"1634","male","admitted","a"
"1635","male","denied","b"
"1636","female","denied","d"
"1637","male","denied","f"
"1638","female","denied","e"
"1639","male","admitted","a"
"1640","female","denied","c"
"1641","male","admitted","a"
"1642","female","denied","e"
"1643","female","denied","e"
"1644","female","admitted","c"
"1645","female","denied","c"
"1646","female","denied","c"
"1647","female","denied","e"
"1648","male","denied","a"
"1649","male","denied","d"
"1650","male","denied","a"
"1651","female","denied","c"
"1652","female","denied","c"
"1653","male","admitted","a"
"1654","female","denied","f"
"1655","male","denied","a"
"1656","male","admitted","b"
"1657","male","denied","d"
"1658","male","admitted","b"
"1659","male","admitted","a"
"1660","male","admitted","f"
"1661","male","denied","d"
"1662","female","denied","d"
"1663","female","admitted","e"
"1664","male","admitted","b"
"1665","male","denied","f"
"1666","male","denied","a"
"1667","female","denied","c"
"1668","male","denied","a"
"1669","female","denied","f"
"1670","male","denied","f"
"1671","male","denied","b"
"1672","male","denied","b"
"1673","male","denied","b"
"1674","male","admitted","b"
"1675","female","denied","c"
"1676","female","denied","c"
"1677","male","admitted","d"
"1678","male","admitted","f"
"1679","female","denied","f"
"1680","female","denied","e"
"1681","female","denied","e"
"1682","male","denied","a"
"1683","male","denied","d"
"1684","female","denied","d"
"1685","male","admitted","a"
"1686","female","denied","c"
"1687","male","denied","c"
"1688","male","admitted","b"
"1689","female","admitted","e"
"1690","female","denied","e"
"1691","female","denied","c"
"1692","male","admitted","e"
"1693","male","admitted","b"
"1694","male","denied","b"
"1695","female","denied","d"
"1696","female","denied","e"
"1697","male","admitted","a"
"1698","male","admitted","a"
"1699","male","admitted","c"
"1700","female","denied","f"
"1701","male","admitted","d"
"1702","male","denied","e"
"1703","male","denied","a"
"1704","male","admitted","b"
"1705","female","denied","c"
"1706","female","denied","e"
"1707","male","denied","a"
"1708","female","denied","e"
"1709","male","denied","a"
"1710","male","admitted","b"
"1711","female","denied","c"
"1712","male","denied","c"
"1713","male","denied","d"
"1714","female","denied","d"
"1715","female","denied","f"
"1716","male","admitted","a"
"1717","male","denied","f"
"1718","female","denied","f"
"1719","male","admitted","d"
"1720","male","denied","f"
"1721","female","admitted","a"
"1722","male","admitted","a"
"1723","male","admitted","d"
"1724","male","denied","d"
"1725","female","denied","f"
"1726","female","denied","f"
"1727","male","denied","a"
"1728","male","admitted","f"
"1729","female","denied","d"
"1730","male","denied","c"
"1731","male","denied","f"
"1732","male","denied","b"
"1733","female","denied","d"
"1734","female","denied","c"
"1735","male","admitted","a"
"1736","male","denied","f"
"1737","male","denied","f"
"1738","female","denied","e"
"1739","female","admitted","c"
"1740","male","admitted","a"
"1741","female","denied","e"
"1742","male","denied","d"
"1743","male","admitted","a"
"1744","male","denied","c"
"1745","female","admitted","a"
"1746","female","denied","c"
"1747","male","denied","d"
"1748","female","denied","c"
"1749","male","denied","f"
"1750","male","denied","d"
"1751","female","admitted","a"
"1752","female","admitted","f"
"1753","female","admitted","a"
"1754","female","admitted","e"
"1755","female","denied","e"
"1756","male","admitted","b"
"1757","female","denied","c"
"1758","female","admitted","c"
"1759","female","denied","e"
"1760","male","admitted","e"
"1761","male","admitted","b"
"1762","female","admitted","c"
"1763","male","admitted","b"
"1764","male","denied","e"
"1765","female","denied","f"
"1766","female","denied","c"
"1767","male","denied","d"
"1768","male","admitted","a"
"1769","male","admitted","a"
"1770","male","denied","b"
"1771","female","admitted","c"
"1772","female","denied","e"
"1773","female","admitted","c"
"1774","female","admitted","c"
"1775","male","denied","f"
"1776","male","admitted","c"
"1777","male","denied","d"
"1778","male","admitted","a"
"1779","male","admitted","a"
"1780","male","denied","a"
"1781","male","denied","f"
"1782","male","admitted","a"
"1783","male","admitted","b"
"1784","female","admitted","c"
"1785","male","admitted","b"
"1786","female","denied","c"
"1787","male","denied","c"
"1788","male","admitted","d"
"1789","male","admitted","b"
"1790","male","admitted","a"
"1791","female","denied","f"
"1792","female","denied","e"
"1793","male","admitted","e"
"1794","male","denied","d"
"1795","female","admitted","d"
"1796","male","denied","f"
"1797","female","denied","f"
"1798","female","admitted","b"
"1799","male","denied","a"
"1800","female","denied","d"
"1801","male","admitted","b"
"1802","female","denied","e"
"1803","female","denied","f"
"1804","male","denied","f"
"1805","male","admitted","d"
"1806","female","admitted","e"
"1807","male","denied","f"
"1808","male","denied","c"
"1809","male","denied","c"
"1810","male","denied","f"
"1811","male","admitted","a"
"1812","male","denied","e"
"1813","male","admitted","b"
"1814","male","admitted","b"
"1815","male","denied","e"
"1816","male","denied","b"
"1817","female","denied","f"
"1818","male","admitted","a"
"1819","female","denied","c"
"1820","male","denied","c"
"1821","male","denied","c"
"1822","male","admitted","a"
"1823","female","denied","f"
"1824","male","admitted","b"
"1825","male","denied","d"
"1826","male","denied","d"
"1827","male","admitted","b"
"1828","male","admitted","a"
"1829","male","denied","a"
"1830","female","denied","c"
"1831","female","admitted","a"
"1832","female","denied","c"
"1833","male","denied","a"
"1834","female","denied","f"
"1835","female","denied","c"
"1836","male","denied","b"
"1837","male","denied","d"
"1838","female","denied","f"
"1839","female","denied","f"
"1840","male","admitted","a"
"1841","male","denied","d"
"1842","male","denied","d"
"1843","male","admitted","b"
"1844","female","denied","e"
"1845","male","denied","c"
"1846","male","denied","f"
"1847","female","denied","d"
"1848","male","denied","b"
"1849","female","denied","d"
"1850","female","admitted","e"
"1851","male","admitted","d"
"1852","male","denied","c"
"1853","male","denied","f"
"1854","female","denied","d"
"1855","female","denied","d"
"1856","male","admitted","a"
"1857","male","denied","a"
"1858","female","denied","f"
"1859","female","denied","d"
"1860","female","denied","d"
"1861","female","admitted","c"
"1862","male","denied","f"
"1863","male","denied","f"
"1864","female","denied","d"
"1865","female","denied","c"
"1866","male","admitted","e"
"1867","male","denied","a"
"1868","male","admitted","d"
"1869","male","admitted","f"
"1870","male","admitted","a"
"1871","male","denied","c"
"1872","male","admitted","a"
"1873","male","denied","a"
"1874","male","admitted","a"
"1875","male","denied","b"
"1876","male","admitted","a"
"1877","male","denied","c"
"1878","male","denied","d"
"1879","male","denied","c"
"1880","male","denied","b"
"1881","male","admitted","a"
"1882","female","admitted","d"
"1883","male","denied","f"
"1884","female","denied","d"
"1885","male","denied","d"
"1886","male","admitted","d"
"1887","male","denied","d"
"1888","female","denied","d"
"1889","female","admitted","e"
"1890","male","denied","b"
"1891","female","denied","c"
"1892","male","denied","a"
"1893","male","admitted","d"
"1894","male","admitted","a"
"1895","female","denied","f"
"1896","male","denied","a"
"1897","female","admitted","e"
"1898","male","denied","e"
"1899","female","admitted","d"
"1900","male","admitted","f"
"1901","male","denied","a"
"1902","female","denied","e"
"1903","male","denied","b"
"1904","male","denied","d"
"1905","male","admitted","c"
"1906","male","denied","f"
"1907","male","denied","a"
"1908","male","denied","b"
"1909","male","admitted","b"
"1910","female","admitted","a"
"1911","male","denied","c"
"1912","male","admitted","d"
"1913","male","denied","c"
"1914","male","denied","c"
"1915","female","admitted","a"
"1916","male","admitted","a"
"1917","male","admitted","b"
"1918","male","denied","f"
"1919","male","admitted","a"
"1920","female","admitted","c"
"1921","male","admitted","a"
"1922","male","admitted","a"
"1923","male","denied","b"
"1924","female","denied","c"
"1925","female","admitted","e"
"1926","male","denied","c"
"1927","female","denied","c"
"1928","male","admitted","a"
"1929","male","denied","b"
"1930","female","denied","e"
"1931","male","admitted","a"
"1932","male","admitted","f"
"1933","male","denied","a"
"1934","male","denied","a"
"1935","female","denied","e"
"1936","male","admitted","a"
"1937","male","admitted","a"
"1938","male","denied","c"
"1939","female","denied","c"
"1940","male","denied","b"
"1941","female","denied","d"
"1942","female","denied","e"
"1943","female","admitted","c"
"1944","male","admitted","d"
"1945","male","admitted","a"
"1946","male","denied","b"
"1947","male","denied","e"
"1948","female","admitted","a"
"1949","male","denied","d"
"1950","male","denied","a"
"1951","male","admitted","d"
"1952","female","denied","d"
"1953","female","denied","f"
"1954","female","denied","d"
"1955","male","denied","d"
"1956","female","denied","e"
"1957","male","admitted","c"
"1958","female","denied","e"
"1959","female","admitted","e"
"1960","male","admitted","a"
"1961","male","denied","e"
"1962","female","denied","e"
"1963","male","admitted","a"
"1964","female","denied","c"
"1965","male","denied","a"
"1966","male","denied","a"
"1967","male","admitted","d"
"1968","male","admitted","e"
"1969","male","admitted","a"
"1970","female","denied","e"
"1971","female","admitted","d"
"1972","female","denied","f"
"1973","male","admitted","a"
"1974","female","admitted","e"
"1975","male","denied","d"
"1976","male","denied","c"
"1977","male","denied","e"
"1978","female","denied","e"
"1979","male","admitted","b"
"1980","male","denied","a"
"1981","female","denied","e"
"1982","male","admitted","e"
"1983","male","admitted","d"
"1984","male","denied","f"
"1985","male","admitted","a"
"1986","male","denied","d"
"1987","female","denied","d"
"1988","male","admitted","a"
"1989","male","denied","c"
"1990","male","admitted","a"
"1991","male","denied","d"
"1992","female","admitted","d"
"1993","male","admitted","d"
"1994","male","admitted","b"
"1995","female","denied","e"
"1996","female","denied","c"
"1997","male","admitted","a"
"1998","female","denied","c"
"1999","male","admitted","c"
"2000","female","denied","c"
"2001","male","denied","f"
"2002","male","denied","f"
"2003","male","admitted","d"
"2004","male","admitted","d"
"2005","male","admitted","a"
"2006","female","admitted","c"
"2007","female","denied","d"
"2008","male","denied","f"
"2009","female","denied","e"
"2010","female","denied","e"
"2011","male","denied","a"
"2012","female","denied","e"
"2013","male","denied","a"
"2014","male","denied","f"
"2015","male","denied","d"
"2016","female","denied","e"
"2017","male","denied","a"
"2018","female","denied","c"
"2019","female","denied","c"
"2020","male","denied","d"
"2021","male","admitted","b"
"2022","male","denied","b"
"2023","male","admitted","a"
"2024","male","admitted","c"
"2025","male","admitted","b"
"2026","male","denied","c"
"2027","female","admitted","a"
"2028","female","denied","e"
"2029","female","denied","d"
"2030","male","admitted","d"
"2031","male","denied","f"
"2032","male","denied","d"
"2033","male","denied","a"
"2034","female","denied","d"
"2035","male","admitted","a"
"2036","male","denied","e"
"2037","male","admitted","b"
"2038","female","admitted","d"
"2039","female","denied","f"
"2040","male","denied","d"
"2041","female","denied","c"
"2042","male","admitted","b"
"2043","male","admitted","b"
"2044","male","denied","e"
"2045","male","admitted","a"
"2046","male","admitted","b"
"2047","female","denied","f"
"2048","male","denied","f"
"2049","male","admitted","c"
"2050","female","admitted","a"
"2051","male","admitted","c"
"2052","male","admitted","a"
"2053","female","admitted","a"
"2054","male","denied","b"
"2055","female","admitted","d"
"2056","female","admitted","c"
"2057","male","denied","d"
"2058","male","denied","c"
"2059","female","denied","c"
"2060","female","denied","d"
"2061","female","denied","d"
"2062","male","denied","a"
"2063","male","denied","b"
"2064","male","denied","c"
"2065","female","denied","d"
"2066","female","admitted","e"
"2067","male","denied","d"
"2068","male","denied","f"
"2069","male","denied","d"
"2070","female","denied","e"
"2071","female","denied","c"
"2072","male","admitted","c"
"2073","female","admitted","a"
"2074","male","denied","f"
"2075","male","admitted","b"
"2076","male","admitted","a"
"2077","male","denied","f"
"2078","female","admitted","b"
"2079","female","denied","c"
"2080","female","denied","e"
"2081","male","denied","a"
"2082","male","admitted","b"
"2083","female","admitted","d"
"2084","female","denied","f"
"2085","female","denied","c"
"2086","male","denied","d"
"2087","male","admitted","b"
"2088","male","denied","c"
"2089","male","denied","b"
"2090","male","denied","d"
"2091","male","admitted","a"
"2092","female","admitted","c"
"2093","male","denied","d"
"2094","male","admitted","a"
"2095","female","denied","c"
"2096","female","admitted","c"
"2097","female","admitted","e"
"2098","female","denied","c"
"2099","male","denied","d"
"2100","female","denied","c"
"2101","female","denied","f"
"2102","female","admitted","d"
"2103","male","admitted","c"
"2104","male","denied","d"
"2105","male","denied","d"
"2106","male","denied","f"
"2107","male","admitted","c"
"2108","male","denied","f"
"2109","male","denied","b"
"2110","male","denied","c"
"2111","male","denied","c"
"2112","female","denied","f"
"2113","male","denied","a"
"2114","female","denied","f"
"2115","male","admitted","a"
"2116","male","denied","c"
"2117","male","denied","d"
"2118","male","denied","e"
"2119","male","denied","e"
"2120","male","admitted","a"
"2121","female","denied","d"
"2122","female","denied","c"
"2123","male","denied","a"
"2124","male","denied","c"
"2125","male","denied","b"
"2126","female","denied","c"
"2127","male","denied","c"
"2128","female","admitted","c"
"2129","female","denied","f"
"2130","female","denied","c"
"2131","male","denied","d"
"2132","female","denied","c"
"2133","male","denied","b"
"2134","male","admitted","b"
"2135","female","denied","d"
"2136","female","denied","f"
"2137","male","admitted","e"
"2138","female","denied","e"
"2139","male","denied","a"
"2140","male","denied","f"
"2141","male","denied","f"
"2142","male","denied","d"
"2143","male","admitted","a"
"2144","female","denied","d"
"2145","female","denied","c"
"2146","female","denied","c"
"2147","male","denied","f"
"2148","male","admitted","b"
"2149","male","denied","b"
"2150","female","admitted","c"
"2151","male","denied","d"
"2152","male","admitted","b"
"2153","female","admitted","c"
"2154","male","denied","a"
"2155","female","denied","c"
"2156","male","denied","e"
"2157","male","denied","a"
"2158","male","admitted","a"
"2159","female","admitted","c"
"2160","male","denied","f"
"2161","male","denied","d"
"2162","male","denied","e"
"2163","male","denied","a"
"2164","female","denied","f"
"2165","male","admitted","b"
"2166","male","admitted","b"
"2167","female","admitted","a"
"2168","female","denied","f"
"2169","female","denied","e"
"2170","male","admitted","a"
"2171","male","denied","c"
"2172","female","denied","c"
"2173","male","denied","d"
"2174","female","denied","c"
"2175","male","admitted","b"
"2176","male","admitted","c"
"2177","female","denied","e"
"2178","male","denied","a"
"2179","male","denied","a"
"2180","female","admitted","e"
"2181","female","admitted","c"
"2182","male","admitted","e"
"2183","female","denied","d"
"2184","female","denied","c"
"2185","male","admitted","b"
"2186","male","denied","f"
"2187","male","admitted","b"
"2188","male","denied","e"
"2189","male","denied","d"
"2190","female","admitted","d"
"2191","female","denied","c"
"2192","male","admitted","c"
"2193","male","denied","f"
"2194","male","denied","d"
"2195","female","denied","f"
"2196","male","denied","a"
"2197","female","denied","f"
"2198","female","denied","d"
"2199","female","denied","e"
"2200","female","admitted","c"
"2201","male","admitted","e"
"2202","male","admitted","a"
"2203","male","denied","c"
"2204","female","admitted","c"
"2205","female","denied","c"
"2206","male","admitted","a"
"2207","male","denied","f"
"2208","male","admitted","b"
"2209","female","admitted","d"
"2210","male","admitted","b"
"2211","female","denied","e"
"2212","female","denied","e"
"2213","female","denied","c"
"2214","male","admitted","a"
"2215","male","denied","f"
"2216","male","denied","c"
"2217","male","denied","b"
"2218","female","denied","e"
"2219","female","admitted","f"
"2220","male","denied","c"
"2221","female","denied","e"
"2222","male","denied","a"
"2223","male","admitted","a"
"2224","male","admitted","c"
"2225","male","admitted","b"
"2226","male","admitted","d"
"2227","female","denied","c"
"2228","male","admitted","a"
"2229","female","admitted","c"
"2230","female","denied","c"
"2231","male","admitted","b"
"2232","female","denied","e"
"2233","male","denied","d"
"2234","female","admitted","e"
"2235","male","admitted","a"
"2236","male","denied","f"
"2237","male","denied","b"
"2238","female","denied","f"
"2239","male","admitted","b"
"2240","male","denied","a"
"2241","male","denied","d"
"2242","female","denied","c"
"2243","male","admitted","b"
"2244","female","denied","f"
"2245","male","admitted","e"
"2246","male","admitted","a"
"2247","female","admitted","d"
"2248","female","denied","c"
"2249","male","denied","f"
"2250","male","admitted","d"
"2251","male","denied","d"
"2252","male","denied","a"
"2253","female","denied","c"
"2254","male","admitted","a"
"2255","male","denied","d"
"2256","male","denied","e"
"2257","male","denied","a"
"2258","male","admitted","a"
"2259","male","denied","d"
"2260","female","denied","d"
"2261","female","denied","c"
"2262","female","admitted","c"
"2263","female","admitted","c"
"2264","male","denied","e"
"2265","male","admitted","b"
"2266","male","denied","d"
"2267","male","admitted","a"
"2268","male","admitted","d"
"2269","male","denied","d"
"2270","male","admitted","b"
"2271","male","admitted","e"
"2272","male","admitted","b"
"2273","female","denied","c"
"2274","male","denied","f"
"2275","male","denied","b"
"2276","male","admitted","a"
"2277","female","denied","e"
"2278","male","admitted","b"
"2279","female","admitted","d"
"2280","female","denied","f"
"2281","female","admitted","c"
"2282","male","denied","f"
"2283","female","admitted","c"
"2284","male","admitted","a"
"2285","female","denied","f"
"2286","female","admitted","a"
"2287","male","admitted","a"
"2288","male","denied","f"
"2289","male","denied","e"
"2290","female","admitted","c"
"2291","female","denied","f"
"2292","male","admitted","b"
"2293","male","admitted","a"
"2294","male","denied","a"
"2295","female","denied","c"
"2296","female","denied","d"
"2297","female","denied","c"
"2298","female","denied","e"
"2299","female","admitted","b"
"2300","male","admitted","b"
"2301","male","admitted","b"
"2302","female","denied","f"
"2303","male","admitted","d"
"2304","male","denied","e"
"2305","female","admitted","e"
"2306","male","denied","e"
"2307","female","admitted","d"
"2308","male","denied","f"
"2309","male","denied","c"
"2310","male","admitted","a"
"2311","male","admitted","a"
"2312","female","denied","d"
"2313","female","admitted","e"
"2314","male","denied","a"
"2315","female","denied","e"
"2316","female","denied","d"
"2317","male","admitted","a"
"2318","male","denied","c"
"2319","male","denied","f"
"2320","male","admitted","b"
"2321","female","denied","e"
"2322","male","denied","c"
"2323","female","denied","f"
"2324","female","admitted","e"
"2325","male","admitted","a"
"2326","female","denied","d"
"2327","female","denied","c"
"2328","male","admitted","a"
"2329","female","denied","c"
"2330","female","denied","d"
"2331","female","admitted","c"
"2332","male","denied","e"
"2333","female","denied","e"
"2334","male","denied","d"
"2335","male","denied","d"
"2336","male","admitted","b"
"2337","female","denied","e"
"2338","male","denied","f"
"2339","female","admitted","f"
